repeat_use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
First Report,652,311,157,134,134,271,861,2156,4284,7150,7470,7363,6840,6377,6599,6580,6344,5094,4407,4300,4147,3643,2917,1494
Reported Before,2322,1105,594,453,397,945,3293,9708,17939,25031,26047,25542,23117,22063,22813,22134,20005,15895,13823,12676,11585,10418,8170,4965
