repeat_use,1,2,3,4,5,6,7,8,9,10
First Report,280.0,209.0,172.0,153.0,163.0,169.0,218.0,192.0,210.0,247.0
Reported Before,1087.0,982.0,495.0,517.0,569.0,629.0,818.0,728.0,942.0,978.0
