method,1,2,3,4,5,6,7,8,9,10
Mobile,922.0,335.0,278.0,204.0,396.0,263.0,452.0,209.0,287.0,203.0
Unclear,603.0,447.0,573.0,337.0,396.0,651.0,574.0,421.0,396.0,310.0
