status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,12807,16632,19572,22146,22271,22512,25289,26133,28663,31665
Reported Fixed,7719,12623,14922,18592,16081,14901,14103,15319,14960,15409
