cobrand_reduced,A1,B1,C1,C2,D1,D2,E1,E2
Cobrand,38043.0,,61203.0,118.0,14749.0,90.0,20110.0,488.0
FixMyStreet.com,89200.0,5982.0,93821.0,516.0,23361.0,537.0,30381.0,1977.0
