cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,14268.0,13547.0,16650.0,13211.0,10822.0,9955.0,12054.0,13443.0,14750.0,16101.0
FixMyStreet.com,40737.0,34908.0,26725.0,20935.0,19228.0,17497.0,19118.0,20144.0,20196.0,18030.0
