method,1,2,3,4,5,6,7,8,9,10
Mobile,580.0,352.0,232.0,377.0,348.0,303.0,365.0,373.0,330.0,289.0
Unclear,427.0,455.0,383.0,401.0,439.0,403.0,326.0,592.0,610.0,672.0
