status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,38123,33282,29908,27867,22095,19356,16775,14881,14582,10821
Reported Fixed,24877,24815,21009,17463,13655,11095,9672,7902,7882,6259
