status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,39329,24327,19564,19599,20486,20818,20045,21919,19413,22190
Reported Fixed,20991,13097,12361,11990,12999,13998,14306,16179,14361,14347
