method,1,2,3,4,5,6,7,8,9,10
Mobile,8416.0,6191.0,5646.0,5903.0,7325.0,7885.0,9416.0,10553.0,10569.0,11795.0
Open311,1.0,,,,,1.0,,,,
Unclear,51903.0,31233.0,26279.0,25686.0,26160.0,26930.0,24935.0,27545.0,23205.0,24742.0
