SHEF_C,Female,Male
Abandoned Vehicles & Parking,5739,10495
Access,2948,4179
Environmental Disruptions,7796,10833
Environmental Health,33614,54297
Incivilities,1551,5092
Other,5546,8149
Public Space,1973,2932
Road Safety & Defects,42655,92543
