status,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Not Reported Fixed,1822,880,477,393,369,765,2441,6625,12758,19277,20715,20511,18960,17781,18379,17788,16568,13094,11250,10422,9808,8753,6764,3923
Reported Fixed,1152,536,274,194,162,451,1713,5239,9465,12904,12802,12394,10997,10659,11033,10926,9781,7895,6980,6554,5924,5308,4323,2536
