status-council,A1,B1,C1,C2,D1,D2,E1,E2
No,88272.0,5982.0,119266.0,380.0,29317.0,485.0,37639.0,1769.0
Yes,38971.0,,35758.0,254.0,8793.0,142.0,12852.0,696.0
