status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,14030,17786,17839,22160,22074,21915,28544,26526,29565,27251
Reported Fixed,9517,11213,12625,14158,15791,15277,17846,15182,16748,16272
