SHEF_C,No Photo,Photo
Abandoned Vehicles & Parking,10502,9405
Access,7405,3227
Environmental Disruptions,18680,7087
Environmental Health,64058,58690
Incivilities,3599,4899
Other,19151,5954
Public Space,2953,3076
Road Safety & Defects,127033,45006
