status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,12064,14520,17859,18545,19938,23574,24233,29602,32421,34934
Reported Fixed,6834,10244,13293,12523,13489,16455,15441,19650,18153,18547
