method,1,2,3,4,5,6,7,8,9,10
FixMyStreet.com,255.0,404.0,601.0,409.0,429.0,539.0,446.0,513.0,529.0,582.0
Mobile,498.0,447.0,407.0,315.0,359.0,236.0,284.0,313.0,322.0,367.0
