answered_survey,1,2,3,4,5,6,7,8,9,10
No,595.0,851.0,742.0,734.0,666.0,680.0,876.0,603.0,570.0,679.0
Yes,81.0,108.0,121.0,147.0,111.0,159.0,137.0,124.0,120.0,152.0
