method,1,2,3,4,5,6,7,8,9,10
Mobile,21078.0,15218.0,9786.0,7429.0,5829.0,5239.0,5024.0,4931.0,4794.0,4371.0
Open311,,,2.0,,,,,,,
Unclear,33927.0,33237.0,33587.0,26717.0,24221.0,22213.0,26148.0,28656.0,30152.0,29760.0
