repeat_use,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
First Report,7069,6673,7329,6229,6443,7418,7782,7272,7718,8214,8856,8682
Reported Before,21307,20979,22881,20080,19975,24914,26516,26085,26084,29185,31367,31667
