status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,14324,17367,20157,24080,22470,26053,27021,29110,29188,30473
Reported Fixed,7977,13447,15284,18360,15136,16210,15107,16448,16235,15888
