answered_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,26420,25698,28253,24653,24697,30458,32265,31486,31931,35571,38259,38154
Yes,1956,1954,1957,1656,1721,1874,2033,1871,1871,1828,1964,2195
