method,A1,B1,C1,C2,D1,D2,E1,E2
Cobrand,38043.0,,61203.0,118.0,14749.0,90.0,20110.0,488.0
FixMyStreet.com,47337.0,2794.0,64183.0,463.0,18021.0,379.0,23744.0,1604.0
Mobile,41863.0,3188.0,29638.0,53.0,5340.0,158.0,6637.0,373.0
