cobrand_reduced,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cobrand,799,440,247,216,161,324,1230,3281,6735,11791,12306,12518,11160,10260,10791,10375,9647,6866,5576,5292,4968,4418,3455,1945
FixMyStreet.com,2175,976,504,371,370,892,2924,8583,15488,20390,21211,20387,18797,18180,18621,18339,16702,14123,12654,11684,10764,9643,7632,4514
