cobrand_reduced,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Cobrand,24954,24334,23282,21617,19803,9662,11149
FixMyStreet.com,43724,43477,40083,38915,35557,25651,28517
