status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,10786,13013,15466,15984,18452,22019,21631,27973,31528,50838
Reported Fixed,6288,8306,10700,13429,14534,15967,15428,17156,17933,24888
