SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Debris/Spillage,6.0,3.0,2.0,2.0,,1.0,2.0,10.0,28.0,38.0,46.0,46.0,35.0,30.0,37.0,34.0,28.0,24.0,13.0,19.0,5.0,9.0,7.0,8.0
Demo,,,,,,,,,2.0,1.0,,,,,,1.0,,1.0,1.0,,,,,
Discarded Syringes,,,,,,,,,1.0,1.0,2.0,4.0,6.0,,2.0,2.0,2.0,,,,,,,1.0
Dog Fouling,22.0,8.0,4.0,2.0,8.0,6.0,41.0,123.0,256.0,351.0,294.0,265.0,283.0,233.0,258.0,250.0,211.0,178.0,110.0,97.0,117.0,95.0,51.0,32.0
Dog Litter Bin,,,,,,,,1.0,3.0,3.0,7.0,8.0,6.0,1.0,1.0,3.0,4.0,3.0,6.0,3.0,,,,
Environmental Health,,,,,,,,3.0,3.0,9.0,9.0,6.0,2.0,10.0,5.0,7.0,5.0,5.0,3.0,2.0,5.0,,2.0,1.0
Fallen/Dangerous Trees,39.0,28.0,9.0,11.0,9.0,31.0,73.0,214.0,389.0,743.0,751.0,820.0,736.0,633.0,677.0,691.0,650.0,444.0,344.0,319.0,272.0,229.0,176.0,96.0
Fences,,,,,,,,,2.0,5.0,4.0,2.0,2.0,4.0,3.0,5.0,1.0,,2.0,,2.0,,,
Flooding,16.0,7.0,3.0,4.0,7.0,6.0,33.0,60.0,209.0,335.0,381.0,320.0,290.0,292.0,269.0,281.0,231.0,160.0,84.0,81.0,63.0,72.0,55.0,26.0
Fly-tipping,397.0,162.0,67.0,52.0,74.0,161.0,835.0,2518.0,4395.0,5291.0,5821.0,5972.0,5291.0,4936.0,4877.0,4386.0,4097.0,3494.0,3083.0,2618.0,2171.0,1688.0,1299.0,716.0
Flyposting,5.0,3.0,1.0,,1.0,,10.0,42.0,72.0,101.0,106.0,116.0,122.0,121.0,111.0,101.0,90.0,70.0,84.0,47.0,53.0,51.0,33.0,12.0
Garden Waste,1.0,,,,,1.0,5.0,9.0,14.0,18.0,20.0,14.0,6.0,10.0,4.0,11.0,11.0,10.0,7.0,12.0,3.0,4.0,5.0,
Gates/Stiles RoW,,,,,,,1.0,2.0,1.0,3.0,7.0,8.0,8.0,7.0,9.0,8.0,12.0,6.0,1.0,3.0,4.0,3.0,1.0,1.0
General Highways Enquiries,8.0,6.0,3.0,2.0,1.0,4.0,14.0,24.0,65.0,106.0,92.0,107.0,93.0,85.0,117.0,107.0,83.0,60.0,56.0,39.0,39.0,34.0,29.0,19.0
Graffiti,68.0,28.0,11.0,19.0,5.0,35.0,103.0,215.0,450.0,638.0,545.0,543.0,532.0,485.0,457.0,483.0,469.0,363.0,317.0,277.0,265.0,269.0,214.0,118.0
Grass/Weed Control,15.0,5.0,1.0,3.0,2.0,11.0,47.0,63.0,140.0,293.0,314.0,349.0,292.0,285.0,293.0,278.0,250.0,166.0,127.0,126.0,124.0,96.0,66.0,20.0
Grids and Drains,,,2.0,,,,,4.0,6.0,2.0,9.0,7.0,7.0,3.0,5.0,4.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,
Grit Bins,,,,,2.0,,1.0,12.0,18.0,42.0,40.0,48.0,28.0,28.0,27.0,34.0,19.0,13.0,4.0,10.0,4.0,2.0,2.0,1.0
Gritting,,,,,,,,,,3.0,1.0,,,,1.0,,1.0,,,,,1.0,,
Grounds Maintenance,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,2.0,,,
Gullies,6.0,5.0,3.0,,4.0,,10.0,33.0,66.0,116.0,136.0,123.0,132.0,119.0,147.0,137.0,98.0,74.0,46.0,45.0,33.0,37.0,26.0,11.0
Gully/Manhole Defects,10.0,9.0,2.0,1.0,,,4.0,14.0,21.0,37.0,38.0,38.0,45.0,42.0,42.0,51.0,47.0,38.0,21.0,29.0,24.0,18.0,24.0,14.0
Highway Condition,169.0,70.0,42.0,29.0,20.0,66.0,181.0,543.0,893.0,1156.0,1246.0,1128.0,1172.0,1135.0,1172.0,1190.0,1080.0,1021.0,866.0,773.0,765.0,690.0,520.0,332.0
Highway Drainage,,,,,,,,,10.0,1.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,,5.0,1.0,1.0,4.0,
Ice & Snow,,,,,,,1.0,1.0,4.0,17.0,14.0,6.0,8.0,3.0,4.0,2.0,5.0,,3.0,6.0,1.0,1.0,2.0,
Leafing,2.0,1.0,,,1.0,,3.0,8.0,17.0,30.0,26.0,24.0,25.0,16.0,21.0,32.0,21.0,19.0,6.0,10.0,4.0,9.0,6.0,4.0
Lewisham Homes,,,,,1.0,1.0,3.0,9.0,10.0,9.0,21.0,17.0,16.0,13.0,16.0,6.0,11.0,14.0,10.0,5.0,5.0,8.0,3.0,3.0
Litter/Litter Bin,11.0,7.0,3.0,5.0,2.0,3.0,25.0,107.0,212.0,362.0,368.0,366.0,278.0,267.0,256.0,227.0,208.0,184.0,126.0,94.0,73.0,60.0,41.0,18.0
Manhole Covers,7.0,2.0,,1.0,1.0,5.0,15.0,43.0,109.0,209.0,224.0,198.0,173.0,160.0,178.0,185.0,128.0,91.0,49.0,64.0,48.0,40.0,38.0,14.0
Manhole Defects,1.0,,1.0,,,,,1.0,,6.0,6.0,14.0,10.0,6.0,6.0,6.0,5.0,3.0,10.0,1.0,3.0,2.0,,1.0
Missed Bin Collection,2.0,1.0,,,,2.0,14.0,51.0,40.0,54.0,76.0,60.0,51.0,51.0,51.0,46.0,20.0,26.0,34.0,13.0,19.0,9.0,6.0,9.0
Noise,,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,4.0,1.0,,1.0,,,1.0
Obstruction,35.0,19.0,8.0,5.0,8.0,20.0,41.0,128.0,332.0,639.0,606.0,576.0,524.0,450.0,460.0,505.0,451.0,260.0,245.0,204.0,193.0,159.0,123.0,51.0
Open Spaces/Parks,38.0,14.0,7.0,6.0,5.0,15.0,78.0,206.0,311.0,452.0,539.0,506.0,485.0,421.0,468.0,498.0,397.0,335.0,320.0,272.0,244.0,194.0,139.0,79.0
Other,146.0,66.0,50.0,42.0,44.0,84.0,238.0,937.0,1897.0,2311.0,2299.0,1988.0,1809.0,1948.0,2316.0,2372.0,1536.0,1002.0,841.0,753.0,706.0,643.0,511.0,349.0
Overgrown Vegetation,29.0,15.0,7.0,4.0,4.0,21.0,67.0,180.0,385.0,817.0,965.0,995.0,809.0,785.0,842.0,823.0,676.0,418.0,284.0,293.0,279.0,296.0,160.0,95.0
Parking,74.0,45.0,22.0,10.0,15.0,34.0,87.0,240.0,439.0,610.0,570.0,519.0,544.0,574.0,505.0,602.0,540.0,542.0,445.0,433.0,389.0,322.0,244.0,130.0
Pavement /Footway Defects,174.0,65.0,25.0,19.0,13.0,64.0,168.0,491.0,1009.0,1678.0,1920.0,1856.0,1769.0,1617.0,1704.0,1707.0,1535.0,1198.0,985.0,957.0,883.0,757.0,539.0,357.0
Pest Control,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,
Phoenix HA,,,,,,,,,5.0,3.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,,3.0,,,,1.0,1.0
Potholes,390.0,172.0,95.0,70.0,74.0,153.0,531.0,1493.0,3111.0,4426.0,4656.0,4820.0,4399.0,4370.0,4518.0,4532.0,4313.0,3385.0,3004.0,2848.0,2596.0,2353.0,1756.0,974.0
Property Damage,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,2.0,,,2.0,,1.0
Public Toilets,1.0,,,,,2.0,1.0,4.0,5.0,9.0,9.0,4.0,3.0,18.0,11.0,18.0,5.0,10.0,11.0,7.0,6.0,3.0,2.0,5.0
Recycling,,,,,1.0,,1.0,2.0,2.0,13.0,3.0,11.0,11.0,14.0,5.0,7.0,3.0,8.0,8.0,3.0,1.0,3.0,,2.0
Retaining Wall,,,,,,,2.0,1.0,2.0,6.0,4.0,9.0,3.0,4.0,1.0,3.0,8.0,7.0,3.0,6.0,,3.0,,1.0
Right of Way,30.0,12.0,1.0,,,2.0,10.0,15.0,46.0,90.0,114.0,104.0,96.0,74.0,107.0,136.0,145.0,120.0,106.0,102.0,79.0,24.0,34.0,64.0
Road Markings,37.0,14.0,19.0,8.0,5.0,17.0,26.0,74.0,161.0,374.0,406.0,443.0,367.0,416.0,371.0,349.0,330.0,248.0,172.0,188.0,179.0,155.0,184.0,134.0
Road Safety,,,,,,,1.0,5.0,8.0,29.0,37.0,30.0,21.0,23.0,33.0,31.0,20.0,5.0,2.0,6.0,9.0,8.0,4.0,1.0
Road Surface Defects,112.0,28.0,31.0,18.0,13.0,31.0,161.0,428.0,870.0,1419.0,1518.0,1438.0,1298.0,1296.0,1328.0,1311.0,1231.0,859.0,757.0,659.0,649.0,520.0,375.0,262.0
Road Works,4.0,2.0,,1.0,2.0,2.0,6.0,23.0,65.0,105.0,92.0,64.0,66.0,64.0,56.0,43.0,40.0,47.0,32.0,29.0,30.0,40.0,19.0,14.0
Road/Pavement Defects,3.0,1.0,,,,,2.0,6.0,26.0,27.0,39.0,19.0,22.0,26.0,25.0,21.0,18.0,14.0,13.0,7.0,21.0,11.0,4.0,1.0
Rubbish,67.0,27.0,17.0,9.0,11.0,27.0,108.0,336.0,597.0,679.0,679.0,625.0,565.0,556.0,583.0,536.0,565.0,471.0,480.0,413.0,355.0,290.0,251.0,120.0
Salt Bins,1.0,,,,,,,3.0,6.0,17.0,17.0,33.0,16.0,6.0,10.0,18.0,10.0,9.0,6.0,4.0,,2.0,1.0,
Shopping Trolley,2.0,,,,,,5.0,12.0,18.0,21.0,27.0,15.0,15.0,12.0,9.0,25.0,9.0,10.0,16.0,12.0,3.0,3.0,3.0,8.0
Skips,,,,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,,,,,,1.0
Spillage on Road,4.0,2.0,1.0,1.0,,,1.0,7.0,21.0,32.0,22.0,26.0,23.0,20.0,28.0,20.0,21.0,11.0,7.0,7.0,6.0,3.0,,3.0
Street Cleaning,135.0,76.0,36.0,18.0,19.0,71.0,277.0,1001.0,1406.0,1816.0,1665.0,1496.0,1428.0,1262.0,1281.0,1202.0,1197.0,964.0,862.0,722.0,713.0,559.0,459.0,312.0
Street Furniture,1.0,3.0,2.0,1.0,2.0,1.0,7.0,13.0,22.0,68.0,72.0,74.0,60.0,55.0,73.0,59.0,58.0,38.0,28.0,27.0,16.0,15.0,15.0,7.0
Street Lights,620.0,349.0,176.0,167.0,100.0,188.0,477.0,911.0,1467.0,2410.0,2531.0,2390.0,2129.0,1891.0,1931.0,1859.0,2025.0,2061.0,2129.0,2506.0,2569.0,2857.0,2542.0,1414.0
Street Name Plates,11.0,8.0,2.0,3.0,3.0,2.0,8.0,31.0,55.0,69.0,87.0,107.0,93.0,82.0,89.0,90.0,90.0,70.0,73.0,68.0,53.0,52.0,34.0,20.0
Street Signs,111.0,68.0,32.0,27.0,29.0,38.0,130.0,264.0,501.0,799.0,747.0,894.0,752.0,736.0,718.0,687.0,742.0,536.0,439.0,462.0,379.0,378.0,311.0,173.0
Trade Waste,,,,1.0,,,2.0,11.0,6.0,8.0,3.0,8.0,10.0,8.0,6.0,4.0,7.0,3.0,3.0,6.0,5.0,2.0,1.0,3.0
Traffic Lights,24.0,17.0,11.0,6.0,9.0,16.0,36.0,162.0,266.0,376.0,269.0,236.0,232.0,226.0,233.0,209.0,259.0,211.0,186.0,164.0,138.0,127.0,94.0,59.0
Trees and Hedges RoW,4.0,1.0,4.0,,1.0,2.0,15.0,27.0,55.0,71.0,75.0,75.0,60.0,79.0,86.0,62.0,68.0,50.0,44.0,45.0,37.0,35.0,36.0,12.0
Trees on RoW,1.0,,,,,1.0,1.0,2.0,9.0,11.0,11.0,8.0,13.0,8.0,7.0,14.0,7.0,5.0,8.0,3.0,2.0,4.0,8.0,8.0
Trip Hazard,2.0,3.0,1.0,,1.0,3.0,2.0,16.0,43.0,100.0,131.0,136.0,120.0,107.0,103.0,100.0,80.0,31.0,25.0,19.0,26.0,15.0,15.0,8.0
Utility Works,1.0,,,,,2.0,2.0,12.0,25.0,37.0,46.0,32.0,46.0,43.0,36.0,32.0,34.0,34.0,18.0,16.0,14.0,14.0,11.0,4.0
Vehicle Access,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
Zebra Crossing,,,,,,,,,,1.0,,,,,,,,,,,,,,
