SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abandoned Vehicles,56.0,33.0,31.0,16.0,13.0,42.0,103.0,295.0,624.0,956.0,978.0,956.0,958.0,875.0,934.0,889.0,821.0,749.0,673.0,576.0,547.0,399.0,281.0,167.0
Accumulated Litter,4.0,2.0,1.0,2.0,3.0,2.0,6.0,49.0,121.0,217.0,196.0,212.0,172.0,167.0,137.0,136.0,129.0,75.0,68.0,45.0,45.0,37.0,29.0,8.0
Barriers/Bollards on RoW,,2.0,,,1.0,4.0,2.0,3.0,10.0,17.0,23.0,14.0,20.0,17.0,19.0,20.0,19.0,7.0,11.0,8.0,7.0,2.0,2.0,1.0
Benches/Bicycle Racks,,,,,,,,1.0,7.0,6.0,8.0,1.0,5.0,6.0,5.0,2.0,4.0,1.0,3.0,,1.0,1.0,2.0,
Bin Collection,,,,,,,,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
Bin Repair/Replacement,2.0,,,,,1.0,2.0,13.0,14.0,27.0,40.0,43.0,25.0,20.0,21.0,26.0,23.0,23.0,19.0,10.0,10.0,7.0,10.0,2.0
Blocked Drains,46.0,15.0,5.0,7.0,7.0,23.0,80.0,200.0,516.0,1054.0,1093.0,1126.0,987.0,869.0,985.0,896.0,850.0,497.0,326.0,278.0,276.0,236.0,196.0,96.0
Bridge/Culvert Defects,2.0,2.0,,1.0,,,8.0,24.0,46.0,74.0,71.0,81.0,70.0,66.0,74.0,64.0,79.0,45.0,25.0,21.0,26.0,18.0,10.0,5.0
Broken Fire Hydrant,,,,,,,,,,,,,,1.0,,,,,,,,,,
Broken Kerbs,1.0,,2.0,,1.0,1.0,4.0,16.0,30.0,49.0,72.0,90.0,67.0,46.0,65.0,63.0,52.0,42.0,20.0,18.0,22.0,15.0,15.0,7.0
Bus Stops Damage,13.0,3.0,7.0,9.0,6.0,8.0,16.0,40.0,95.0,98.0,112.0,91.0,106.0,94.0,71.0,79.0,76.0,61.0,62.0,45.0,69.0,44.0,27.0,26.0
C.C.T.V Faults,,,,,,,,,,,1.0,,,,,,,,,,,,,
Countryside RoW,,,,,,,,,,,,,,,,1.0,,,,,,,,
Dead Animals,4.0,5.0,2.0,5.0,3.0,6.0,18.0,69.0,132.0,148.0,111.0,105.0,80.0,82.0,82.0,60.0,54.0,26.0,38.0,23.0,28.0,15.0,24.0,15.0
