method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cobrand,9216,8819,9884,8415,8648,10233,10775,10709,13132,14751,15515,14704
FixMyStreet.com,12190,11970,12733,11163,11173,14812,15581,15007,12743,14501,16640,16550
Mobile,6970,6863,7593,6731,6597,7287,7942,7641,7927,8147,8068,9095
