SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,565.0,1252.0,1240.0,1399.0,1294.0,1318.0,1228.0,1176.0,1345.0,1154.0
Bin Replacement,11.0,30.0,67.0,55.0,38.0,42.0,38.0,42.0,25.0,39.0
Bridge/Culvert Defects,32.0,28.0,51.0,84.0,71.0,107.0,112.0,113.0,110.0,104.0
Bus Stops Damage,66.0,123.0,105.0,229.0,103.0,100.0,129.0,114.0,142.0,147.0
Dog Fouling,250.0,383.0,349.0,400.0,387.0,375.0,330.0,336.0,253.0,223.0
Drainage,625.0,883.0,1077.0,1800.0,1319.0,2028.0,2366.0,2713.0,2766.0,2527.0
Environmental Health,9.0,87.0,109.0,147.0,148.0,156.0,160.0,116.0,171.0,113.0
Fences,2.0,2.0,3.0,4.0,6.0,3.0,4.0,5.0,3.0,
Gritting,18.0,23.0,31.0,49.0,40.0,62.0,72.0,75.0,63.0,146.0
Grounds Maintenance,55.0,61.0,52.0,64.0,81.0,90.0,152.0,157.0,124.0,91.0
Highways Enquiries,888.0,1185.0,1315.0,1534.0,1787.0,2061.0,2012.0,2200.0,2125.0,2252.0
Incivilities,448.0,838.0,1003.0,1122.0,1033.0,844.0,836.0,935.0,770.0,629.0
Open Spaces/Parks,391.0,699.0,578.0,664.0,612.0,442.0,675.0,671.0,680.0,617.0
Other,1753.0,2114.0,2422.0,2227.0,2175.0,2776.0,3178.0,3462.0,2895.0,2802.0
Overgrown/Fallen Veg/Trees,507.0,905.0,1098.0,1524.0,1480.0,2093.0,2643.0,3047.0,3395.0,4070.0
Parking,707.0,840.0,783.0,902.0,812.0,791.0,743.0,809.0,808.0,738.0
Pavement /Footway Defects,1269.0,1378.0,1264.0,1385.0,1474.0,1485.0,1653.0,1671.0,1905.0,2215.0
Property Damage,1.0,1.0,,,3.0,1.0,3.0,,1.0,2.0
Public Toilets,5.0,9.0,9.0,8.0,13.0,18.0,18.0,17.0,22.0,15.0
Retaining Wall,4.0,5.0,10.0,11.0,7.0,7.0,5.0,3.0,9.0,2.0
Right of Way,469.0,674.0,809.0,1465.0,1005.0,1160.0,1440.0,1289.0,1244.0,943.0
Road Safety,788.0,1068.0,1277.0,1674.0,1606.0,2194.0,2170.0,2709.0,2695.0,2913.0
Road Surface Defects,2677.0,3380.0,4538.0,6037.0,6708.0,8419.0,10531.0,11976.0,12693.0,13254.0
Rubbish,8636.0,10975.0,12026.0,12064.0,11203.0,10588.0,7026.0,6505.0,5429.0,4492.0
Street Furniture,154.0,1116.0,850.0,1353.0,1756.0,1193.0,1228.0,2196.0,1840.0,1271.0
Street Lights,1782.0,2435.0,2548.0,3173.0,3339.0,3523.0,4106.0,4843.0,5327.0,6622.0
Utility Works,27.0,63.0,57.0,77.0,38.0,74.0,41.0,40.0,26.0,16.0
