status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,14038,17500,20407,24329,22357,26277,27318,29339,29376,29555
Reported Fixed,7743,13566,15433,18476,15045,16310,15427,16643,16250,15299
