status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,12941,16167,19545,23177,21791,25971,25660,27029,27343,28066
Reported Fixed,7439,12870,15250,17843,15275,16139,14757,15025,15323,14708
