method,1,2,3,4,5,6,7,8,9,10
Mobile,8710.0,9706.0,9758.0,11203.0,9137.0,7216.0,6547.0,7180.0,7135.0,7107.0
Open311,,,,1.0,,,1.0,,,
Unclear,11816.0,19549.0,24736.0,29534.0,29215.0,30197.0,32844.0,34272.0,36488.0,39967.0
