method,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cobrand,799,440,247,216,161,324,1230,3281,6735,11791,12306,12518,11160,10260,10791,10375,9647,6866,5576,5292,4968,4418,3455,1945
FixMyStreet.com,1404,623,306,228,205,478,1501,4561,9143,13501,14147,13697,12442,12138,12685,12513,11263,8842,7600,7163,6860,6082,4729,2952
Mobile,771,353,198,143,165,414,1423,4022,6345,6889,7064,6690,6355,6042,5936,5826,5439,5281,5054,4521,3904,3561,2903,1562
