method,1,2,3,4,5,6,7,8,9,10
Cobrand,3437.0,5856.0,9456.0,10844.0,12201.0,12197.0,14323.0,16631.0,21084.0,28772.0
FixMyStreet.com,8833.0,10659.0,14416.0,15574.0,16723.0,16992.0,16749.0,16979.0,17749.0,19143.0
Mobile,6917.0,8651.0,9061.0,9602.0,8793.0,8605.0,7760.0,7526.0,7634.0,9152.0
