answered_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,2795,1328,709,555,496,1134,3906,11233,21051,30534,31809,31208,28359,26947,27830,27228,24772,19529,16962,15743,14473,12956,10268,6020
Yes,179,88,42,32,35,82,248,631,1172,1647,1708,1697,1598,1493,1582,1486,1577,1460,1268,1233,1259,1105,819,439
