status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,25982,25612,27331,24316,22796,21273,21215,20238,20621,18306
Reported Fixed,13289,17892,19408,17101,14461,13931,14293,12272,11600,10382
