method,1,2,3,4,5,6,7,8,9,10
Cobrand,13764.0,22735.0,16332.0,12278.0,11147.0,11948.0,11510.0,13040.0,14375.0,7672.0
FixMyStreet.com,23980.0,19541.0,14190.0,11490.0,12284.0,13314.0,13309.0,14487.0,18605.0,12617.0
Mobile,25645.0,14645.0,7294.0,6214.0,5434.0,4841.0,5325.0,5138.0,5336.0,3829.0
