status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,13143,14969,18168,19940,20086,22177,27260,28309,34009,29629
Reported Fixed,8375,9476,12511,14752,12786,15951,18804,17476,18691,15807
