status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,18726,21048,21963,20556,23396,20255,22616,24157,24048,30925
Reported Fixed,11893,16184,16599,15261,15256,12452,13028,12170,13201,18585
