SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,574.0,1248.0,1301.0,1514.0,1321.0,1246.0,1195.0,1143.0,1295.0,1124.0
Bin Replacement,13.0,29.0,70.0,63.0,30.0,42.0,34.0,44.0,23.0,39.0
Bridge/Culvert Defects,32.0,30.0,52.0,104.0,56.0,111.0,117.0,101.0,105.0,104.0
Bus Stops Damage,69.0,120.0,106.0,237.0,113.0,102.0,120.0,116.0,131.0,144.0
Dog Fouling,249.0,396.0,370.0,427.0,360.0,366.0,325.0,321.0,245.0,217.0
Drainage,628.0,906.0,1214.0,1829.0,1274.0,2114.0,2409.0,2591.0,2656.0,2480.0
Environmental Health,9.0,88.0,112.0,161.0,144.0,193.0,118.0,115.0,168.0,108.0
Fences,2.0,3.0,2.0,4.0,6.0,3.0,5.0,4.0,3.0,
Gritting,18.0,23.0,32.0,49.0,39.0,79.0,57.0,82.0,58.0,142.0
Grounds Maintenance,57.0,64.0,49.0,65.0,83.0,95.0,153.0,154.0,116.0,91.0
Highways Enquiries,888.0,1195.0,1388.0,1620.0,1827.0,2008.0,2075.0,2041.0,2090.0,2199.0
Incivilities,450.0,842.0,1065.0,1201.0,973.0,839.0,793.0,925.0,750.0,611.0
Open Spaces/Parks,392.0,704.0,596.0,741.0,553.0,437.0,693.0,640.0,678.0,591.0
Other,1758.0,2147.0,2551.0,2292.0,2276.0,2754.0,3146.0,3279.0,2822.0,2761.0
Overgrown/Fallen Veg/Trees,516.0,923.0,1165.0,1593.0,1514.0,2222.0,2617.0,2979.0,3249.0,3980.0
Parking,705.0,860.0,826.0,930.0,842.0,737.0,725.0,791.0,789.0,720.0
Pavement /Footway Defects,1268.0,1397.0,1301.0,1459.0,1480.0,1465.0,1693.0,1592.0,1836.0,2181.0
Property Damage,1.0,1.0,,,3.0,1.0,3.0,,1.0,2.0
Public Toilets,5.0,9.0,9.0,8.0,16.0,16.0,18.0,16.0,22.0,15.0
Retaining Wall,4.0,5.0,10.0,12.0,6.0,7.0,6.0,2.0,9.0,2.0
Right of Way,470.0,687.0,891.0,1446.0,1039.0,1217.0,1367.0,1243.0,1235.0,903.0
Road Safety,791.0,1094.0,1381.0,1718.0,1628.0,2211.0,2265.0,2549.0,2593.0,2856.0
Road Surface Defects,2675.0,3494.0,4827.0,6559.0,6591.0,8491.0,10606.0,11549.0,12365.0,12987.0
Rubbish,8758.0,10879.0,12553.0,13422.0,10471.0,10736.0,6101.0,6408.0,5150.0,4406.0
Street Furniture,156.0,1119.0,864.0,1580.0,1630.0,1111.0,1323.0,2162.0,1803.0,1207.0
Street Lights,1786.0,2486.0,2651.0,3325.0,3282.0,3599.0,4122.0,4674.0,5205.0,6475.0
Utility Works,27.0,65.0,55.0,81.0,49.0,61.0,42.0,37.0,26.0,16.0
