status-council,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,2314,1092,601,492,450,951,3180,8309,16013,23307,24644,24364,22589,21308,21989,21258,20172,16449,14205,13120,12207,10886,8425,4933
Yes,660,324,150,95,81,265,974,3555,6210,8874,8873,8541,7368,7132,7423,7456,6177,4540,4025,3856,3525,3175,2662,1526
