method,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Mobile,14509.0,14663.0,13250.0,12800.0,11820.0,11378.0,12438.0
Open311,1.0,1.0,1.0,,,,
Unclear,54168.0,53147.0,50114.0,47732.0,43540.0,23935.0,27228.0
