status-council,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,20924,20753,22757,19510,19565,23730,24798,24493,26360,28733,30761,30874
Yes,7452,6899,7453,6799,6853,8602,9500,8864,7442,8666,9462,9475
