status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,22456,25290,24681,24380,23388,22695,23963,21515,20658,18664
Reported Fixed,12322,17419,16447,15234,15954,13624,15629,13741,13212,11047
