status,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Not Reported Fixed,16362,16141,17860,15448,15617,19549,20281,20039,22101,24516,26592,26017
Reported Fixed,12014,11511,12350,10861,10801,12783,14017,13318,11701,12883,13631,14332
