status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,211824,135490,116669,114049,118343,116930,114964,124030,115823,123333
Reported Fixed,124113,78800,76219,75582,75886,79555,81653,90060,82126,83129
