year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,,209.0,1300.0,1236.0,1046.0,849.0,837.0,930.0,896.0,858.0,765.0,1012.0
2008,2003.0,1803.0,2124.0,1972.0,1379.0,1460.0,1938.0,1616.0,2027.0,1762.0,2200.0,2200.0
2009,3268.0,3692.0,4309.0,4212.0,3182.0,3203.0,3768.0,3130.0,3141.0,2887.0,3048.0,3191.0
2010,6546.0,5892.0,6614.0,5400.0,3899.0,4678.0,4159.0,3773.0,4024.0,4210.0,4476.0,3867.0
2011,9405.0,7984.0,6797.0,4650.0,4530.0,4076.0,3704.0,4189.0,4283.0,4589.0,4795.0,4701.0
2012,7405.0,6133.0,6753.0,5298.0,5741.0,6492.0,6965.0,5788.0,5200.0,6074.0,6800.0,7442.0
2013,11860.0,12153.0,12980.0,10286.0,7382.0,6974.0,7226.0,6368.0,7314.0,7420.0,8353.0,7710.0
2014,14896.0,15320.0,12467.0,9298.0,8819.0,14480.0,11202.0,9387.0,9867.0,10536.0,11669.0,9968.0
2015,15548.0,15931.0,16942.0,13164.0,12182.0,12976.0,13914.0,12056.0,12034.0,12242.0,12482.0,12413.0
2016,19919.0,19363.0,20119.0,16794.0,14624.0,17457.0,17437.0,16934.0,16079.0,14589.0,14004.0,13140.0
2017,18942.0,20555.0,21326.0,15031.0,15361.0,16311.0,16772.0,17335.0,16795.0,17721.0,17175.0,15464.0
2018,30438.0,26905.0,31731.0,32793.0,26808.0,24422.0,23299.0,22606.0,23857.0,23451.0,22963.0,23498.0
2019,28376.0,27652.0,30210.0,26309.0,26418.0,32332.0,34298.0,33357.0,33802.0,37399.0,40223.0,40349.0
2020,55751.0,55041.0,42985.0,22829.0,32142.0,40313.0,41899.0,43275.0,43791.0,42281.0,43611.0,40267.0
