status-council,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,9938.0,22482.0,40990.0,57461.0,63608.0,73338.0,94126.0,120329.0,141849.0,164947.0,162354.0,226336.0,293258.0,410856.0
Yes,,2.0,41.0,77.0,95.0,2753.0,11900.0,17580.0,20035.0,35512.0,46434.0,86435.0,97467.0,93329.0
