status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3731.0,3600.0,3687.0,3285.0,3226.0,3188.0,3628.0,3591.0,4052.0,3180.0
Reported Fixed,1430.0,1711.0,1790.0,1606.0,1878.0,1421.0,1918.0,1918.0,2439.0,2031.0
