year,Not Reported Fixed,Reported Fixed
2007,5643,4295
2008,12993,9491
2009,24486,16545
2010,32949,24589
2011,36206,27497
2012,43792,32299
2013,59759,46267
2014,83373,54536
2015,100752,61132
2016,115821,84638
2017,116603,92185
2018,170806,141965
2019,240523,150202
2020,351442,152743
