cobrand_reduced,1,2,3,4,5,6,7,8,9,10
Cobrand,17.0,13.0,11.0,10.0,16.0,8.0,7.0,7.0,8.0,3.0
FixMyStreet.com,6837.0,6454.0,4645.0,5309.0,5375.0,6012.0,5110.0,4412.0,4502.0,4545.0
