status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3764,3536,3174,3613,3287,4064,3031,2817,3382,4428
Reported Fixed,1437,1647,1286,1833,1733,2154,1819,1696,2176,2350
