year,1,2,3,4,5,6,7,8,9,10
2007,712,849,844,935,989,916,823,905,887,1057
2008,1561,1642,2040,1675,1799,1818,1741,1707,1735,2150
2009,3177,3366,3514,3508,3299,3384,3625,3764,3736,4235
2010,3745,4296,4600,4456,4427,4493,4791,5363,6030,7920
2011,4657,5060,4745,4976,4771,4812,5115,5536,6078,7885
2012,4970,5791,5423,5745,5710,5840,6568,7111,8331,11689
2013,6039,6747,6499,7645,7773,8235,9376,10665,13754,20530
2014,7191,8432,9067,9696,9858,10402,12252,13715,18464,28829
2015,8199,9486,11204,13859,13076,13737,14934,15880,20880,29974
2016,10540,13000,14826,18237,17479,18402,18813,19304,23182,32901
2017,11055,13340,15350,17791,17227,18199,19222,20342,24083,37884
2018,13532,16069,18865,21780,22683,24684,27133,33315,42670,71718
2019,17074,21319,26166,29413,32986,37986,37059,45129,49461,75726
2020,20026,26436,33934,35679,44111,51292,51244,61506,63674,95006
