method,1,2,3,4,5,6,7,8,9,10
Desktop,5871,7375,4829,3728,3768,4039,4028,4800,5230,3332
Mobile,120564,73019,43019,33216,30132,29388,29749,28958,29853,24200
Open311,327,464,463,790,959,1226,1499,1593,2657,3977
Unclear,199808,231316,190337,146031,137989,144876,147309,154465,165076,118318
