status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,3040,3104,3990,3923,3695,3105,4206,3798,2843,3460
Reported Fixed,1617,1885,1703,1609,2183,1491,2043,1973,1634,2008
