SHEF_B,1,2,3,4,5,6,7,8,9,10
Abandoned Vehicles,5339.0,6235.0,7942.0,8087.0,8473.0,8658.0,8558.0,6182.0,4981.0,2998.0
Bin Replacement,307.0,317.0,295.0,151.0,84.0,81.0,104.0,62.0,52.0,53.0
Bridge/Culvert Defects,238.0,411.0,336.0,385.0,269.0,270.0,231.0,259.0,276.0,240.0
Bus Stops Damage,561.0,511.0,584.0,525.0,558.0,726.0,585.0,532.0,514.0,409.0
Dangerous Building/Structure,98.0,162.0,158.0,138.0,69.0,31.0,16.0,19.0,21.0,11.0
Dog Fouling,2943.0,2999.0,2799.0,2603.0,2175.0,2644.0,2672.0,2413.0,2207.0,2129.0
Drainage,7103.0,7195.0,7432.0,8019.0,7235.0,7081.0,6465.0,6499.0,7071.0,4835.0
Environmental Health,361.0,556.0,994.0,1005.0,1087.0,1228.0,1059.0,648.0,220.0,93.0
Fences,37.0,23.0,44.0,58.0,47.0,60.0,37.0,44.0,72.0,37.0
Floral Displays,,13.0,19.0,29.0,33.0,29.0,25.0,15.0,6.0,
Gritting,113.0,119.0,153.0,183.0,171.0,162.0,133.0,172.0,140.0,182.0
Grounds Maintenance,581.0,515.0,662.0,623.0,464.0,509.0,393.0,384.0,286.0,270.0
Highways Enquiries,16658.0,16090.0,16054.0,15685.0,15023.0,13279.0,13004.0,11845.0,11741.0,9130.0
Incivilities,9219.0,8554.0,9172.0,7100.0,5264.0,3949.0,4152.0,2276.0,2422.0,2092.0
Open Spaces/Parks,1975.0,2488.0,3462.0,3366.0,3766.0,4036.0,3292.0,2979.0,2197.0,2333.0
Other,13595.0,13079.0,13629.0,12870.0,12592.0,11445.0,12401.0,11118.0,11053.0,8749.0
Overgrown/Fallen Veg/Trees,5970.0,6992.0,9384.0,9679.0,11077.0,12419.0,12504.0,11958.0,10656.0,9610.0
Parking,5233.0,5679.0,5838.0,5647.0,5358.0,5077.0,4998.0,4625.0,4310.0,3838.0
Pavement /Footway Defects,11692.0,11460.0,11878.0,12090.0,12834.0,12394.0,12328.0,11383.0,11061.0,9110.0
Property Damage,33.0,24.0,20.0,30.0,27.0,29.0,36.0,44.0,58.0,23.0
Public Toilets,124.0,156.0,138.0,106.0,106.0,68.0,83.0,75.0,67.0,53.0
Retaining Wall,8.0,40.0,48.0,51.0,47.0,30.0,15.0,19.0,15.0,4.0
Right of Way,3384.0,4556.0,6434.0,5704.0,5449.0,5909.0,5107.0,4097.0,3428.0,2297.0
Road Safety,11040.0,9988.0,9787.0,9493.0,9470.0,8836.0,8361.0,8141.0,8018.0,6552.0
Road Surface Defects,54277.0,45712.0,48207.0,49766.0,51423.0,51139.0,50505.0,50649.0,50266.0,37598.0
Rubbish,69639.0,79069.0,84150.0,65627.0,44171.0,37132.0,37232.0,25509.0,21997.0,16869.0
Street Furniture,1445.0,2787.0,6879.0,6130.0,6351.0,7349.0,7216.0,4290.0,2461.0,1189.0
Street Lights,12496.0,13667.0,14257.0,16071.0,18413.0,19139.0,21591.0,22227.0,23205.0,23433.0
Utility Works,198.0,354.0,325.0,355.0,369.0,251.0,202.0,226.0,162.0,44.0
