method,1,2,3,4,5,6,7,8,9,10
Desktop,66.0,70.0,59.0,72.0,53.0,64.0,44.0,72.0,117.0,93.0
Mobile,3410.0,1965.0,1238.0,1413.0,1436.0,1317.0,1549.0,1571.0,1444.0,1703.0
Unclear,4370.0,3824.0,2975.0,3140.0,2859.0,3103.0,3229.0,3841.0,4019.0,4190.0
