status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,149583,144577,155551,142019,132627,124067,125117,114397,111135,92382
Reported Fixed,85084,95174,105529,99557,89778,89893,88188,74293,67828,51799
