cobrand_reduced,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cobrand,58841,55919,53992,44776,45701,52685,52108,52059,55540,55900,58869,53703
FixMyStreet.com,165516,162714,162665,124496,117812,133338,135310,128685,127570,130119,133695,131519
