status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,4642,4496,3120,3498,3723,3887,3384,2847,2732,2829
Reported Fixed,2212,1971,1536,1821,1668,2133,1733,1572,1778,1719
