method,1,2,3,4,5,6,7,8,9,10
Desktop,4059,4763,5046,5042,4680,4800,5419,4694,4706,3791
Mobile,44478,55036,59004,50540,51199,42917,42275,36914,31489,28246
Open311,2549,2217,1765,1053,1094,1581,1111,830,820,935
Unclear,161834,174272,171698,165949,163999,162361,179848,165691,158806,131067
