year,2-20 Reports,21-50 Reports,50+ Reports,One Report
2007,4430.0,612.0,1014.0,3882.0
2008,9373.0,1895.0,4096.0,7120.0
2009,18278.0,3978.0,6153.0,12622.0
2010,25357.0,6841.0,11264.0,14076.0
2011,27045.0,8230.0,14793.0,13635.0
2012,30949.0,9188.0,19624.0,16330.0
2013,44039.0,13578.0,28331.0,20078.0
2014,57695.0,18454.0,37813.0,23947.0
2015,63929.0,21985.0,48125.0,27845.0
2016,75067.0,27710.0,65863.0,31819.0
2017,77618.0,29045.0,68395.0,33730.0
2018,111009.0,38715.0,112355.0,50690.0
2019,141967.0,42495.0,137516.0,68709.0
2020,14545.0,3974.0,11094.0,7393.0
