status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,80098,99235,114516,126810,130519,129977,141042,145177,157149,166932
Reported Fixed,46431,71831,81921,96570,89488,82702,82890,93570,98712,103008
